,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9
Row_1,"-170,86","-128,86","-87,87","-42,88","0,88","44,86","88,87","130,84","170,84"
Row_2,"-170,127","-126,128","-87,129","-42,128","0,130","44,128","88,129","130,126","170,126"
Row_3,"-168,169","-126,171","-85,171","-42,170","0,170","44,170","88,171","130,168","170,168"
Row_4,"-168,212","-125,214","-84,213","-42,211","0,212","44,210","86,211","130,210","170,210"
Row_5,"-167,254","-124,254","-83,254","-42,253","2,252","44,252","86,253","130,252","170,252"
Row_6,"-167,296","-124,296","-83,296","-42,295","2,294","44,294","86,295","130,294","170,292"
Row_7,"-167,337","-124,337","-83,337","-42,337","2,336","44,336","86,337","130,336","170,334"
Row_8,"-167,378","-125,379","-83,379","-40,379","2,378","44,378","86,379","130,378","170,378"
Row_9,"-170,420","-127,421","-85,421","-43,421","1,420","43,420","86,421","128,420","168,420"
Row_10,"-174,464","-130,464","-86,464","-43,463","0,462","43,465","82,465","125,463","165,466"
