0,1,2
"(10, 5)",1,RG1
"(10, 1)",1,RC1
"(4, 3)",-1,BS2
"(10, 4)",1,RA1
"(1, 4)",-1,BA1
"(10, 6)",1,RA1
"(10, 3)",1,RE1
"(3, 8)",-1,BO2
"(3, 2)",-1,BO1
"(7, 9)",1,RS5
"(1, 5)",-1,BG1
"(1, 1)",-1,BC1
"(4, 1)",-1,BS1
"(10, 7)",1,RE2
"(7, 1)",1,RS1
"(8, 2)",1,RO1
"(4, 7)",-1,BS4
"(1, 3)",-1,BE1
"(1, 7)",-1,BE2
"(8, 8)",1,RO2
"(4, 5)",-1,BS3
"(1, 2)",-1,BH1
"(7, 3)",1,RS2
"(10, 9)",1,RC2
"(1, 8)",-1,BH2
"(1, 9)",-1,BC2
"(4, 9)",-1,BS5
"(1, 6)",-1,BA1
"(7, 5)",1,RS3
"(7, 7)",1,RS4
"(10, 2)",1,RH1
"(10, 8)",1,RH2
