	    Col_1	Col_2	Col_3	Col_4	Col_5	Col_6	Col_7	Col_8	    Col_9
Row_1	168,83	126,83	84,83	43.2,87.3	-1.25,87	-42,83	-84,83	-126,83	    -168,83
Row_2	168,125	126,125	84,125	41.5,129	-2.75,129	-42,125	-84,125	-126,125	-168,125
Row_3	168,167	126,167	84,167	38  ,171	 -4.5 ,170	-42,167	-84,167	-126,167	-168,167
Row_4	168,210	126,210	84,210	35.1,212.2	-6.8 ,212	-42,210	-84,210	-126,210	-168,210
Row_5	168,251	126,251	84,251	34.2,253.2	    -9 ,253	-42,251	-84,251	-126,251	-168,251
Row_6	168,293	126,293	84,293	30  ,294.3	    -12 ,294.5	-42,293	-84,293	-126,293	-168,293
Row_7	168,335	126,335	84,335	29  ,337.5	    -14.7,335	-42,335	-84,335	-126,335	-168,335
Row_8	168,377	126,377	84,377	25  ,379.5	    -17.8,377.6	-42,377	-84,377	-126,377	-168,377
Row_9	168,419	126,419	84,419	21  ,421.5	    -21.2,419.6	-42,419	-84,419	-126,419	-168,419
Row_10	168,461	126,461	84,461	17.5,463.5	        - 23,461.6	-42,461	-84,461	-126,461	-168,461
